DateTime,AddedIPs,RemovedIPs
1532427604,0,51
1532427722,86,0
1532428322,12,0
1532428922,13,0
1532429522,77,0
1532430154,19,3
1532430962,55,0
1532431322,5,0
1532431981,2,0
1532432522,78,0
1532432883,52,9
1532433363,22,90
1532433756,37,2
1532434321,16,0
1532434922,47,0
1532435521,26,0
1532436122,43,0
1532436723,53,0
1532437354,53,1
1532437922,59,0
1532438522,40,0
1532439122,51,0
1532439722,44,0
1532440562,102,14
1532441282,41,59
1532441522,56,0
1532442121,35,0
1532442722,4,0
1532443204,0,65
1532443322,53,0
1532443922,7,0
1532444408,60,0
1532444555,26,2
1532445122,54,0
1532445721,55,0
1532446322,80,13
1532447042,26,89
1532447522,23,0
1532448123,43,0
1532448156,0,3
1532448722,44,0
1532449322,77,0
1532450402,61,0
1532450522,80,0
1532451757,79,1
1532452323,51,59
1532452922,36,0
1532453581,38,0
1532454246,163,0
1532454721,5,0
1532455356,39,0
1532456162,63,30
1532456644,79,101
1532457722,80,0
1532458322,68,0
1532459014,51,1
1532459522,56,0
1532460122,58,0
1532461322,49,0
1532462162,112,23
1532462642,61,103
1532463722,67,0
1532464322,51,0
1532464922,69,0
1532465522,1,0
1532466048,61,0
1532466155,51,1
1532466722,52,0
1532467321,52,0
1532467921,47,0
1532468642,48,83
1532469842,138,1
1532470323,39,0
1532470805,0,83
1532470921,58,0
1532471762,69,0
1532472122,65,0
1532473416,32,4
1532473922,73,0
1532474522,58,0
1532475181,1,0
1532475602,79,15
1532475722,52,0
1532476562,47,183
1532476954,40,0
1532477522,43,0
1532478122,60,0
1532478721,50,0
1532479442,88,0
1532480615,49,1
1532481121,58,0
1532481724,42,0
1532482323,7,79
1532483282,107,0
1532484155,41,1
1532484722,46,0
1532485322,76,0
1532486522,83,0
1532487123,59,8
1532487722,47,0
1532488082,8,61
1532488922,45,0
1532489523,38,0
1532490122,49,0
1532490962,60,51
1532491322,80,0
1532491923,203,20
1532492522,78,0
1532492882,0,202
1532493121,81,0
1532493722,79,0
1532494322,3,0
1532494876,50,1
1532494954,48,0
1532495522,37,0
1532496122,35,0
1532496722,98,1
1532497322,77,0
1532497682,2,76
1532498614,77,12
1532499122,85,0
1532499844,47,64
1532500322,53,0
1532500802,80,0
1532500922,66,0
1532501522,1,0
1532502216,43,2
1532502722,3,0
1532503322,73,0
1532503682,0,53
1532504522,69,0
1532505122,25,0
1532505816,62,4
1532506322,1,0
1532506562,69,0
1532506921,80,0
1532507523,54,0
1532508002,0,39
1532508483,134,0
1532508722,76,0
1532509417,34,2
1532509924,59,74
1532510521,37,0
1532511723,42,0
1532512322,154,0
1532512921,68,0
1532514121,77,0
