DateTime,AddedIPs,RemovedIPs
1524099922,368,371
1524103739,339,370
1524107579,322,321
1524111454,356,353
1524115535,365,334
1524119331,347,348
1524123187,327,349
1524127003,335,343
1524130856,302,302
1524134723,337,303
1524138662,358,358
1524142432,344,336
1524146204,331,370
1524150513,370,370
1524154463,384,367
1524158488,355,352
1524162312,337,333
1524166148,324,334
1524170005,360,379
1524173835,328,326
1524177696,323,307
1524181504,308,305
1524185595,138,136
1526144723,0,0
1527288070,0,0
1527293416,0,0
1531787814,13,388
1531811588,1,0
1531815388,1,0
1531819504,1,0
1531827171,1,0
1531831024,1,0
1531854274,3,0
1531858368,1,0
1531873746,1,0
1531877556,281,0
1531881418,450,303
1531885229,451,451
1531889072,451,451
1531892916,451,451
1531896786,449,449
1531900584,451,451
1531904459,451,451
1531908283,451,451
1531912120,451,451
1531915961,451,451
1531919794,451,451
1531923624,451,451
1531927474,451,451
1531931320,421,421
1531935167,331,331
1531939000,451,451
1531943071,451,451
1531946930,451,451
1531950754,451,451
1531954606,451,451
1531958449,451,451
1531962293,451,451
1531966139,356,356
1531969965,261,261
1531973799,451,451
1531977880,451,451
1531981765,451,451
1531985567,451,451
1531989700,451,451
1531993492,451,451
1531997342,451,451
1532001181,451,451
1532005012,428,428
1532024213,1,1
1532028266,1,1
1532032136,1,1
1532039802,1,1
1532051801,0,1
1532059528,1,1
1532082793,1,1
1532113474,1,1
1532121153,0,1
1532144217,1,1
1532156016,451,449
1532159805,451,451
1532163890,451,451
1532167711,451,451
1532171556,451,451
1532175424,451,451
1532179249,451,451
1532183087,451,451
1532186945,451,451
1532190774,451,451
1532194609,451,451
1532198447,451,451
1532202294,451,451
1532206358,451,451
1532210202,451,451
1532214045,398,398
1532217881,451,451
1532221723,451,451
1532225565,451,451
1532229396,451,451
1532233243,451,451
1532237128,451,451
1532240909,451,451
1532244754,451,451
1532248598,370,370
1532252430,251,251
1532256282,451,451
1532260139,451,451
1532263976,451,451
1532267808,450,450
1532271679,451,451
1532275768,451,451
1532279557,114,114
1532283408,2,2
1532287252,1,1
